10 | 495.00 | [-6.0, 5.5, -4.0, 2.75, -2.4, 1.8333333333333333, -1.7142857142857142, 1.375, -1.3333333333333333, 1.1]
11 | 726.00 | [6.0, -6.5, 4.0, -3.25, 2.4, -2.1666666666666665, 1.7142857142857142, -1.625, 1.3333333333333333, -1.3, 1.0909090909090908]
12 | 858.00 | [-7.0, 6.5, -4.666666666666667, 3.25, -2.8, 2.1666666666666665, -2.0, 1.625, -1.5555555555555556, 1.3, -1.2727272727272727, 1.0833333333333333]
13 | 1183.00 | [7.0, -7.5, 4.666666666666667, -3.75, 2.8, -2.5, 2.0, -1.875, 1.5555555555555556, -1.5, 1.2727272727272727, -1.25, 1.0769230769230769]
14 | 1365.00 | [-8.0, 7.5, -5.333333333333333, 3.75, -3.2, 2.5, -2.2857142857142856, 1.875, -1.7777777777777777, 1.5, -1.4545454545454546, 1.25, -1.2307692307692308, 1.0714285714285714]
15 | 1800.00 | [8.0, -8.5, 5.333333333333333, -4.25, 3.2, -2.8333333333333335, 2.2857142857142856, -2.125, 1.7777777777777777, -1.7, 1.4545454545454546, -1.4166666666666667, 1.2307692307692308, -1.2142857142857142, 1.0666666666666667]
16 | 2040.00 | [-9.0, 8.5, -6.0, 4.25, -3.6, 2.8333333333333335, -2.5714285714285716, 2.125, -2.0, 1.7, -1.6363636363636365, 1.4166666666666667, -1.3846153846153846, 1.2142857142857142, -1.2, 1.0625]
17 | 2601.00 | [9.0, -9.5, 6.0, -4.75, 3.6, -3.1666666666666665, 2.5714285714285716, -2.375, 2.0, -1.9, 1.6363636363636365, -1.5833333333333333, 1.3846153846153846, -1.3571428571428572, 1.2, -1.1875, 1.0588235294117647]
18 | 2907.00 | [-10.0, 9.5, -6.666666666666667, 4.75, -4.0, 3.1666666666666665, -2.857142857142857, 2.375, -2.2222222222222223, 1.9, -1.8181818181818181, 1.5833333333333333, -1.5384615384615385, 1.3571428571428572, -1.3333333333333333, 1.1875, -1.1764705882352942, 1.0555555555555556]
19 | 3610.00 | [10.0, -10.5, 6.666666666666667, -5.25, 4.0, -3.5, 2.857142857142857, -2.625, 2.2222222222222223, -2.1, 1.8181818181818181, -1.75, 1.5384615384615385, -1.5, 1.3333333333333333, -1.3125, 1.1764705882352942, -1.1666666666666667, 1.0526315789473684]
20 | 3990.00 | [-11.0, 10.5, -7.333333333333333, 5.25, -4.4, 3.5, -3.142857142857143, 2.625, -2.4444444444444446, 2.1, -2.0, 1.75, -1.6923076923076923, 1.5, -1.4666666666666666, 1.3125, -1.2941176470588236, 1.1666666666666667, -1.1578947368421053, 1.05]
21 | 4851.00 | [11.0, -11.5, 7.333333333333333, -5.75, 4.4, -3.8333333333333335, 3.142857142857143, -2.875, 2.4444444444444446, -2.3, 2.0, -1.9166666666666667, 1.6923076923076923, -1.6428571428571428, 1.4666666666666666, -1.4375, 1.2941176470588236, -1.2777777777777777, 1.1578947368421053, -1.15, 1.0476190476190477]
22 | 5313.00 | [-12.0, 11.5, -8.0, 5.75, -4.8, 3.8333333333333335, -3.4285714285714284, 2.875, -2.6666666666666665, 2.3, -2.1818181818181817, 1.9166666666666667, -1.8461538461538463, 1.6428571428571428, -1.6, 1.4375, -1.411764705882353, 1.2777777777777777, -1.263157894736842, 1.15, -1.1428571428571428, 1.0454545454545454]
23 | 6348.00 | [12.0, -12.5, 8.0, -6.25, 4.8, -4.166666666666667, 3.4285714285714284, -3.125, 2.6666666666666665, -2.5, 2.1818181818181817, -2.0833333333333335, 1.8461538461538463, -1.7857142857142858, 1.6, -1.5625, 1.411764705882353, -1.3888888888888888, 1.263157894736842, -1.25, 1.1428571428571428, -1.1363636363636365, 1.0434782608695652]
24 | 6900.00 | [-13.0, 12.5, -8.666666666666666, 6.25, -5.2, 4.166666666666667, -3.7142857142857144, 3.125, -2.888888888888889, 2.5, -2.3636363636363638, 2.0833333333333335, -2.0, 1.7857142857142858, -1.7333333333333334, 1.5625, -1.5294117647058822, 1.3888888888888888, -1.368421052631579, 1.25, -1.2380952380952381, 1.1363636363636365, -1.1304347826086956, 1.0416666666666667]
25 | 8125.00 | [13.0, -13.5, 8.666666666666666, -6.75, 5.2, -4.5, 3.7142857142857144, -3.375, 2.888888888888889, -2.7, 2.3636363636363638, -2.25, 2.0, -1.9285714285714286, 1.7333333333333334, -1.6875, 1.5294117647058822, -1.5, 1.368421052631579, -1.35, 1.2380952380952381, -1.2272727272727273, 1.1304347826086956, -1.125, 1.04]
26 | 8775.00 | [-14.0, 13.5, -9.333333333333334, 6.75, -5.6, 4.5, -4.0, 3.375, -3.111111111111111, 2.7, -2.5454545454545454, 2.25, -2.1538461538461537, 1.9285714285714286, -1.8666666666666667, 1.6875, -1.6470588235294117, 1.5, -1.4736842105263157, 1.35, -1.3333333333333333, 1.2272727272727273, -1.2173913043478262, 1.125, -1.12, 1.0384615384615385]
27 | 10206.00 | [14.0, -14.5, 9.333333333333334, -7.25, 5.6, -4.833333333333333, 4.0, -3.625, 3.111111111111111, -2.9, 2.5454545454545454, -2.4166666666666665, 2.1538461538461537, -2.0714285714285716, 1.8666666666666667, -1.8125, 1.6470588235294117, -1.6111111111111112, 1.4736842105263157, -1.45, 1.3333333333333333, -1.3181818181818181, 1.2173913043478262, -1.2083333333333333, 1.12, -1.1153846153846154, 1.037037037037037]
28 | 10962.00 | [-15.0, 14.5, -10.0, 7.25, -6.0, 4.833333333333333, -4.285714285714286, 3.625, -3.3333333333333335, 2.9, -2.727272727272727, 2.4166666666666665, -2.3076923076923075, 2.0714285714285716, -2.0, 1.8125, -1.7647058823529411, 1.6111111111111112, -1.5789473684210527, 1.45, -1.4285714285714286, 1.3181818181818181, -1.3043478260869565, 1.2083333333333333, -1.2, 1.1153846153846154, -1.1111111111111112, 1.0357142857142858]
29 | 12615.00 | [15.0, -15.5, 10.0, -7.75, 6.0, -5.166666666666667, 4.285714285714286, -3.875, 3.3333333333333335, -3.1, 2.727272727272727, -2.5833333333333335, 2.3076923076923075, -2.2142857142857144, 2.0, -1.9375, 1.7647058823529411, -1.7222222222222223, 1.5789473684210527, -1.55, 1.4285714285714286, -1.4090909090909092, 1.3043478260869565, -1.2916666666666667, 1.2, -1.1923076923076923, 1.1111111111111112, -1.1071428571428572, 1.0344827586206897]
30 | 13485.00 | [-16.0, 15.5, -10.666666666666666, 7.75, -6.4, 5.166666666666667, -4.571428571428571, 3.875, -3.5555555555555554, 3.1, -2.909090909090909, 2.5833333333333335, -2.4615384615384617, 2.2142857142857144, -2.1333333333333333, 1.9375, -1.8823529411764706, 1.7222222222222223, -1.6842105263157894, 1.55, -1.5238095238095237, 1.4090909090909092, -1.391304347826087, 1.2916666666666667, -1.28, 1.1923076923076923, -1.1851851851851851, 1.1071428571428572, -1.103448275862069, 1.0333333333333334]
31 | 15376.00 | [16.0, -16.5, 10.666666666666666, -8.25, 6.4, -5.5, 4.571428571428571, -4.125, 3.5555555555555554, -3.3, 2.909090909090909, -2.75, 2.4615384615384617, -2.357142857142857, 2.1333333333333333, -2.0625, 1.8823529411764706, -1.8333333333333333, 1.6842105263157894, -1.65, 1.5238095238095237, -1.5, 1.391304347826087, -1.375, 1.28, -1.2692307692307692, 1.1851851851851851, -1.1785714285714286, 1.103448275862069, -1.1, 1.032258064516129]
32 | 16368.00 | [-17.0, 16.5, -11.333333333333334, 8.25, -6.8, 5.5, -4.857142857142857, 4.125, -3.7777777777777777, 3.3, -3.090909090909091, 2.75, -2.6153846153846154, 2.357142857142857, -2.2666666666666666, 2.0625, -2.0, 1.8333333333333333, -1.7894736842105263, 1.65, -1.619047619047619, 1.5, -1.4782608695652173, 1.375, -1.36, 1.2692307692307692, -1.2592592592592593, 1.1785714285714286, -1.1724137931034482, 1.1, -1.096774193548387, 1.03125]
33 | 18513.00 | [17.0, -17.5, 11.333333333333334, -8.75, 6.8, -5.833333333333333, 4.857142857142857, -4.375, 3.7777777777777777, -3.5, 3.090909090909091, -2.9166666666666665, 2.6153846153846154, -2.5, 2.2666666666666666, -2.1875, 2.0, -1.9444444444444444, 1.7894736842105263, -1.75, 1.619047619047619, -1.5909090909090908, 1.4782608695652173, -1.4583333333333333, 1.36, -1.3461538461538463, 1.2592592592592593, -1.25, 1.1724137931034482, -1.1666666666666667, 1.096774193548387, -1.09375, 1.0303030303030303]
34 | 19635.00 | [-18.0, 17.5, -12.0, 8.75, -7.2, 5.833333333333333, -5.142857142857143, 4.375, -4.0, 3.5, -3.272727272727273, 2.9166666666666665, -2.769230769230769, 2.5, -2.4, 2.1875, -2.1176470588235294, 1.9444444444444444, -1.894736842105263, 1.75, -1.7142857142857142, 1.5909090909090908, -1.565217391304348, 1.4583333333333333, -1.44, 1.3461538461538463, -1.3333333333333333, 1.25, -1.2413793103448276, 1.1666666666666667, -1.1612903225806452, 1.09375, -1.0909090909090908, 1.0294117647058822]
